Sample_ID	Sample_barcodes_extracted	sample_desc	Sample_Type	Jar_Number	Jar_Label	Conc_class	Div_class	Plast_class	Depth_class	Sample_date	timepoint	Total_vol_extracted_ml	pore_size	Depth_m	Cnt_pieces_extracted	Extraction_Date	Plastic_colors_counts	Extraction_Group
DNA_1	MIW21-0136, MIW21-0150, MIW21-0152	plastic DNA	jar plastic	4	H-CON H-DIV SURF_1	H-CON	H-DIV	MIX	SURF	2021-09-01	T1	NA	NA	NA	3	2021-10-27	NA	D2
DNA_111	MIW21-0147	plastic DNA	jar plastic	44	H-CON M-DIV SURF_2	H-CON	M-DIV	MIX	SURF	2021-09-01	T0	NA	NA	NA	1	2021-11-03	NA	MD
DNA_112	MIW21-0156	plastic DNA	jar plastic	44	H-CON M-DIV SURF_2	H-CON	M-DIV	MIX	SURF	2021-09-01	NA	NA	NA	NA	1	2021-11-03	NA	MD
DNA_114	MIW21-0116	plastic DNA	jar plastic	50	H-CON L-DIV YL-SURF_2	H-CON	L-DIV	YL	SURF	2021-09-01	T1	NA	NA	NA	22 maybe?	2021-10-27	yellow	BB/SD
DNA_17	MIW21-0187, MIW21-0188, MIW21-0189, MIW21-0191, MIW21-0192	plastic DNA	jar plastic	43	H-CON M-DIV SURF_1	H-CON	M-DIV	MIX	SURF	2021-09-01	T1	NA	NA	NA	5	2021-10-27	3 clear, 1 blue, 1 pink	SR
DNA_18	MIW21-0494, MIW21-0495, MIW21-0496, MIW21-0497	plastic DNA	jar plastic	43	H-CON M-DIV SURF_1	H-CON	M-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	3	2021-11-03	NA	AJ
DNA_19	MIW21-0154, MIW21-0157, MIW21-0158, MIW21-0159	plastic DNA	jar plastic	44	H-CON M-DIV SURF_2	H-CON	M-DIV	MIX	SURF	2021-09-01	T1	NA	NA	NA	4	2021-10-27	1 blue, 1 pink, 2 clear	SR
DNA_2	MIW21-0369, MIW21-0370, MIW21-0371, MIW21-0372, MIW21-0373, MIW21-0374	plastic DNA	jar plastic	4	H-CON H-DIV SURF_1	H-CON	H-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_20a	MIW21-0498, MIW21-0500, MIW21-0501	plastic DNA	jar plastic	44	H-CON M-DIV SURF_2	H-CON	M-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	MD
DNA_20b	MIW21-0499	plastic DNA	jar plastic	44	H-CON M-DIV SURF_2	H-CON	M-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	MD
DNA_21	MIW21-0195	plastic DNA	jar plastic	45	H-CON M-DIV SURF_3	H-CON	M-DIV	MIX	SURF	2021-09-01	T1	NA	NA	NA	4	2021-10-27	blue, pink (x2), clear	BB
DNA_22a	MIW21-0502, MIW21-0504	plastic DNA	jar plastic	45	H-CON M-DIV SURF_3	H-CON	M-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	MD
DNA_22b	MIW21-0503, MIW21-0505	plastic DNA	jar plastic	45	H-CON M-DIV SURF_3	H-CON	M-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	MD
DNA_23	MIW21-0262	plastic DNA	jar plastic	46	H-CON L-DIV FILM-SURF_1	H-CON	L-DIV	FILM	SURF	2021-09-01	T1	NA	NA	NA	10	2021-10-27	film	BB
DNA_24	MIW21-0524	plastic DNA	jar plastic	46	H-CON L-DIV FILM-SURF_1	H-CON	L-DIV	FILM	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_26	MIW21-0263	plastic DNA	jar plastic	47	H-CON L-DIV FILM-SURF_2	H-CON	L-DIV	FILM	SURF	2021-09-01	T1	NA	NA	NA	10	2021-10-27	film	D2
DNA_27	MIW21-0525	plastic DNA	jar plastic	47	H-CON L-DIV FILM-SURF_2	H-CON	L-DIV	FILM	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_29	MIW21-0264	plastic DNA	jar plastic	48	H-CON L-DIV FILM-SURF_3	H-CON	L-DIV	FILM	SURF	2021-09-01	T1	NA	NA	NA	NA	2021-10-27	NA	D2
DNA_30	MIW21-0526	plastic DNA	jar plastic	48	H-CON L-DIV FILM-SURF_3	H-CON	L-DIV	FILM	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_32	MIW21-0243	plastic DNA	jar plastic	49	H-CON L-DIV YL-SURF_1	H-CON	L-DIV	YL	SURF	2021-09-01	T1	NA	NA	NA	4	2021-10-27	yellow	BB/SD
